CustomerID,Age,Gender,AnnualIncome,SpendingScore,CustomerSince,NumPurchases,LoyaltyPoints
1.0,56.0,Male,,18.0,2016-03-30,11.0,1471.0
2.0,69.0,Female,73565.0,12.0,2016-07-01,60.0,826.0
3.0,46.0,Female,70342.0,72.0,2021-10-11,65.0,1428.0
4.0,32.0,Female,57723.0,97.0,2016-09-27,76.0,2443.0
5.0,60.0,Male,50572.0,46.0,2023-07-20,4.0,4874.0
6.0,25.0,Female,32610.0,55.0,2021-08-30,25.0,4306.0
7.0,38.0,Female,49052.0,38.0,2019-11-26,72.0,4985.0
8.0,56.0,Female,113993.0,78.0,2023-05-11,79.0,3781.0
9.0,36.0,Male,102063.0,2.0,2016-07-12,43.0,2025.0
10.0,40.0,Male,52550.0,9.0,2019-01-12,94.0,2317.0
11.0,28.0,Female,69033.0,5.0,2022-09-22,40.0,1006.0
12.0,28.0,Female,44011.0,98.0,2018-06-19,96.0,1637.0
13.0,41.0,Female,117811.0,19.0,2019-11-17,99.0,844.0
14.0,53.0,Male,49764.0,71.0,2019-05-13,85.0,4493.0
15.0,57.0,Male,112540.0,39.0,2015-09-07,95.0,3287.0
16.0,41.0,Male,68533.0,,2014-10-20,91.0,3503.0
17.0,20.0,Female,39064.0,17.0,,44.0,2861.0
,39.0,Male,64581.0,63.0,2016-01-25,72.0,638.0
19.0,19.0,Female,43702.0,90.0,2020-05-07,59.0,492.0
20.0,41.0,Female,100701.0,46.0,2022-09-26,23.0,2998.0
21.0,61.0,Male,23631.0,91.0,2019-11-06,62.0,3657.0
22.0,,Female,102388.0,92.0,2019-03-03,23.0,2175.0
23.0,55.0,Male,85043.0,20.0,2015-11-23,58.0,1485.0
24.0,19.0,Female,81063.0,70.0,2023-07-31,55.0,4543.0
25.0,38.0,Female,43981.0,8.0,2020-01-12,33.0,558.0
26.0,,Male,50764.0,96.0,2021-05-24,77.0,3748.0
27.0,29.0,Female,116771.0,19.0,2019-02-07,63.0,969.0
28.0,39.0,Female,65513.0,32.0,2019-09-18,60.0,4009.0
29.0,61.0,Female,,19.0,2020-08-08,99.0,85.0
30.0,42.0,Female,81198.0,24.0,,61.0,4972.0
31.0,,Female,39940.0,24.0,2016-08-24,80.0,3128.0
32.0,44.0,Female,86792.0,56.0,2021-06-24,76.0,4301.0
33.0,59.0,Female,43432.0,81.0,2015-11-19,61.0,2195.0
34.0,45.0,Female,23367.0,18.0,2022-02-15,95.0,4886.0
35.0,33.0,Male,118601.0,12.0,2020-01-04,69.0,4053.0
36.0,32.0,Male,40511.0,41.0,2015-04-17,89.0,946.0
37.0,64.0,Female,23573.0,87.0,2022-01-02,21.0,3208.0
38.0,68.0,Female,,48.0,2022-11-25,3.0,1993.0
39.0,61.0,Male,20378.0,82.0,2018-12-23,48.0,3440.0
40.0,69.0,Female,80296.0,64.0,2015-04-18,,1545.0
41.0,20.0,Male,28500.0,16.0,2015-11-26,87.0,4652.0
42.0,54.0,Male,80841.0,80.0,2018-08-14,81.0,3507.0
43.0,68.0,Male,36881.0,100.0,2021-08-17,42.0,29.0
44.0,24.0,Female,85233.0,23.0,2021-10-11,99.0,1471.0
45.0,38.0,,66542.0,86.0,2018-10-02,89.0,1409.0
46.0,26.0,Female,80285.0,39.0,2020-02-18,66.0,3760.0
47.0,56.0,Male,,33.0,2017-01-15,91.0,3679.0
48.0,35.0,Male,77151.0,24.0,2017-08-07,46.0,528.0
49.0,21.0,Male,22222.0,61.0,2022-06-01,9.0,125.0
50.0,42.0,Female,22933.0,55.0,,49.0,4908.0
51.0,31.0,Male,98385.0,61.0,2017-11-02,4.0,3856.0
52.0,67.0,Male,104772.0,84.0,2019-03-19,60.0,3258.0
53.0,26.0,Female,113706.0,97.0,2019-10-28,90.0,653.0
54.0,43.0,Male,93437.0,95.0,2020-12-03,96.0,4233.0
55.0,19.0,Male,21940.0,40.0,2015-02-12,29.0,740.0
56.0,37.0,Female,99590.0,58.0,2023-04-30,86.0,2261.0
57.0,45.0,Female,74145.0,,2018-12-09,47.0,290.0
58.0,64.0,Male,58610.0,74.0,2016-10-23,77.0,2991.0
59.0,24.0,Female,72520.0,1.0,2022-01-11,87.0,3641.0
60.0,61.0,Male,,85.0,2020-09-24,63.0,2577.0
61.0,25.0,Female,105854.0,25.0,2023-03-11,31.0,2739.0
62.0,64.0,,69812.0,96.0,2016-05-19,51.0,1693.0
63.0,52.0,Female,86610.0,53.0,2020-11-19,41.0,4644.0
64.0,31.0,Male,66500.0,61.0,2022-10-01,36.0,1319.0
65.0,34.0,Female,54618.0,46.0,2021-08-25,40.0,2821.0
66.0,,Female,114054.0,74.0,2020-01-12,95.0,3662.0
67.0,67.0,Female,40444.0,,2019-10-15,60.0,3229.0
68.0,57.0,Female,100982.0,51.0,2023-03-09,15.0,1395.0
69.0,21.0,Female,109079.0,73.0,2023-03-19,78.0,2967.0
70.0,19.0,Female,71586.0,84.0,2021-02-17,99.0,3961.0
71.0,23.0,Female,,48.0,2016-06-06,88.0,2614.0
72.0,59.0,Male,16617.0,84.0,2023-04-27,30.0,1544.0
73.0,21.0,Male,115834.0,40.0,2020-08-19,30.0,3901.0
74.0,46.0,Female,18333.0,7.0,2015-11-16,27.0,4497.0
75.0,35.0,Female,55002.0,75.0,2019-11-23,40.0,1780.0
76.0,43.0,Male,78620.0,85.0,2018-04-05,78.0,2150.0
